'word-id', 'word', missing frequency in 'title_tokenized'
123, mirnas, 7
419, rnas, 46
508, proteinprotein, 84
592, highthroughput, 52
742, micrornas, 63
1205, cisregulatory, 34
1264, mrnas, 8
1401, peertopeer, 16
1464, proteincoding, 11
1500, wholegenome, 32
1691, cnvs, 3
1797, utrs, 2
1882, chipseq, 23
1939, caenorhabditis, 19
1956, tissuespecific, 11
2027, sirnas, 4
2049, contextaware, 3
2050, genomescale, 24
2106, rnaseq, 26
2268, kegg, 9
2273, hkme, 1
2332, chipchip, 9
2667, gwas, 3
2715, higherorder, 2
2763, agentbased, 11
2854, proteindna, 10
2865, contentbased, 4
2870, highdimensional, 7
2927, proteinligand, 6
2972, bottomup, 3
3064, humancomputer, 9
3119, domainspecific, 1
3164, singlemolecule, 16
3187, modelbased, 8
3329, bioconductor, 10
3359, hapmap, 2
3414, selforganizing, 1
3446, dnabinding, 2
3506, crossvalidation, 5
3699, lowfrequency, 3
3805, cscw, 2
3866, eventrelated, 5
3881, shortread, 14
3882, textmining, 8
3888, mirnatarget, 1
3916, individualbased, 4
3925, graphbased, 9
3927, knowledgebased, 7
3974, orfs, 1
3979, structurebased, 7
3993, coarsegrained, 5
4027, copynumber, 11
4036, ctcf, 3
4110, pvalues, 1
4153, semisupervised, 4
4157, allatom, 3
4251, pfam, 2
4341, rulebased, 2
4363, twohybrid, 5
4399, cmyc, 1
4413, sbml, 5
4431, pairedend, 6
4470, eqtl, 4
4653, drosha, 1
4690, crossspecies, 2
4718, restingstate, 4
4751, ontologybased, 9
4775, faulttolerant, 2
4816, networkbased, 10
4867, dnds, 2
4987, singlecell, 3
4991, cytoscape, 7
5062, pirnas, 1
5121, selforganized, 6
5126, rtpcr, 5
5128, timevarying, 2
5165, mirnamediated, 1
5253, widearea, 2
5262, stdp, 2
5274, doublestranded, 1
5296, speciesspecific, 2
5342, biocreative, 1
5393, goaldirected, 2
5478, charmm, 1
5613, singlephoton, 1
5648, hebbian, 3
5704, cellcycle, 3
5738, freeenergy, 4
5740, cisacting, 1
5765, selfassembly, 2
5824, escience, 2
5858, contextfree, 2
5871, datadriven, 3
5884, kmer, 2
5919, geneprotein, 3
5977, humanspecific, 4
5990, genechip, 1
5994, interpro, 3
6082, highconfidence, 1
6087, statespace, 2
6104, solexa, 4
6175, kolmogorov, 2
6209, allelespecific, 3
6218, reactome, 4
6257, twocomponent, 2
6294, npcomplete, 1
6334, metaanalyses, 3
6357, usercentered, 1
6375, timedependent, 1
6415, inparanoid, 2
6419, prosite, 2
6421, strandspecific, 4
6495, boseeinstein, 4
6513, agerelated, 2
6532, locationbased, 1
6561, systemslevel, 1
6628, celltocell, 3
6685, finitestate, 2
6775, microarraybased, 2
6889, internetbased, 1
6914, tfidf, 1
6923, transfac, 1
6962, singlestranded, 1
6966, druglike, 1
7002, stemloop, 1
7012, secondorder, 1
7042, contextspecific, 3
7070, domaindomain, 1
7105, constraintbased, 2
7108, errorcorrecting, 1
7167, cocitation, 1
7168, generegulatory, 3
7219, literaturebased, 2
7222, selfsimilarity, 2
7231, nonmodel, 2
7293, sitespecific, 3
7299, eventbased, 2
7300, imagebased, 2
7355, aspectoriented, 1
7364, populationbased, 2
7470, wholecell, 3
7497, meanfield, 1
7596, casecontrol, 1
7609, omim, 1
7623, tolllike, 3
7687, kernelbased, 2
7696, basecalling, 3
7759, premrna, 1
7998, rewardrelated, 1
8019, hypothesisdriven, 1
8031, deoxyribozymebased, 1
8040, biologys, 2
8050, blastphemy, 1
8059, epsps, 1
8084, visualsaccadic, 1
8088, textis, 1
8123, evaluationof, 1
8143, orfeome, 2
8144, proteomescale, 2
8159, micrornatarget, 3
8165, modalityspecific, 1
8217, selfperpetuating, 1
8218, doublenegative, 2
8258, spinglass, 1
8261, modecoupling, 1
8290, timingdependent, 4
8294, braincomputer, 1
8299, brocas, 1
8349, dataa, 1
8353, fixational, 1
8366, ribognome, 1
8398, quantumenhanced, 1
8453, dorsalventral, 1
8475, spectrometrybased, 5
8478, domainspecificity, 1
8492, voxelbased, 1
8493, morphometrythe, 1
8513, premessenger, 1
8522, positionbased, 1
8527, matricesthe, 1
8530, basicanalysis, 1
8544, nirs, 1
8564, mirrorneuron, 1
8567, kinaselike, 1
8570, proteinsmall, 2
8580, gtpases, 1
8582, reactionrate, 1
8592, actornetwork, 3
8607, thetagamma, 1
8616, messagepassing, 1
8629, errorrelated, 1
8633, cellsignalling, 1
8659, cohesindockerin, 1
8673, metropolishastings, 1
8676, metaproteomics, 1
8678, mfold, 2
8694, visionbased, 2
8699, resourcebased, 2
8702, hostbacterial, 1
8732, multisequence, 2
8736, handoverhand, 1
8767, peerreviewers, 1
8782, aracne, 1
8806, pasbios, 1
8812, bonferroni, 1
8817, levinthal, 1
8822, statisticalthermodynamic, 1
8830, integrateandfire, 2
8842, structurefunction, 1
8855, hubmed, 1
8859, druggability, 2
8860, hostmicrobe, 1
8864, memorya, 1
8869, stimulusdriven, 1
8898, multivoxel, 1
8908, subdiffractionlimit, 1
8916, foldinga, 1
8929, fewelectron, 1
8931, signaltransduction, 2
8941, backbonebased, 1
8948, waveletbased, 3
8952, shortlatency, 1
8975, cancergene, 1
8977, supermatrix, 2
9007, eegmeg, 1
9017, humanchimpanzee, 1
9042, singleneuron, 2
9062, fragmentbased, 1
9078, methylomes, 2
9079, histonemodification, 1
9093, atomiclevel, 4
9095, familywise, 1
9108, archicortex, 1
9110, manybody, 2
9119, calabiyau, 1
9123, metaanalytic, 1
9165, diffusioninfluenced, 1
9175, targetp, 1
9176, signalp, 2
9179, postencode, 1
9188, interactionsite, 1
9190, codata, 1
9192, crossfrequency, 1
9232, mirnomicsthe, 1
9235, photoswitchable, 1
9302, networkanother, 1
9303, tumoursuppression, 1
9309, mirtron, 1
9310, piwipirna, 1
9335, twophoton, 1
9353, coiledcoil, 3
9362, virusinduced, 1
9381, massspectrometrybased, 2
9383, informationbased, 3
9395, noncrystallographers, 1
9406, biologywhats, 1
9437, gproteincoupled, 2
9443, geneset, 3
9446, anovas, 1
9461, postgenome, 2
9479, solventbased, 1
9481, proteincoupled, 1
9484, dataoriented, 1
9487, shortrange, 1
9496, sduality, 1
9498, seiberg, 1
9516, rsat, 2
9539, metacommunities, 1
9540, mitogenactivated, 1
9561, speciesmediated, 1
9565, scepticisms, 1
9574, bioimage, 1
9575, evodevo, 2
9593, highorder, 2
9595, fluorescencebased, 1
9636, coadaptation, 1
9647, piwiinteracting, 2
9684, fitsnps, 1
9687, feshbach, 2
9692, genotypephenotype, 3
9702, decanalization, 1
9706, statedependent, 1
9708, rnainterference, 1
9728, phosphatome, 1
9737, studiesthe, 1
9751, miqe, 1
9757, ratioscommunicating, 1
9771, patientderived, 1
9783, findsite, 1
9784, evolutionstructurebased, 1
9808, longtimescale, 1
9811, trailinduced, 1
9824, dualprocessing, 1
9841, cancernew, 1
9853, membraneprotein, 1
9874, currentgeneration, 1
9891, ontologys, 1
9943, earlywarning, 1
9945, laserdriven, 1
9946, plasmabased, 1
9955, distantacting, 1
9974, secondgeneration, 4
9977, lamarckian, 2
9982, overoptimism, 1
9984, pathwaygenome, 2
9991, solexaillumina, 1
9995, phylogenydriven, 1
10002, membraneorganizing, 1
10007, crisprcas, 1
10009, selfrenewal, 1
10012, mrnaseq, 3
10017, targetenrichment, 1
10020, crispr, 2
10021, rnadirected, 1
10023, signallingnetwork, 1
10048, biologydriven, 1
10054, highthroughputsequencing, 1
10070, peerreview, 1
10074, biopax, 2
10078, reactiondiffusion, 2
10091, eulerian, 1
10096, rfam, 2
10099, ipfam, 1
10101, metagenes, 1
10102, raxmliii, 1
10103, likelihoodbased, 2
10109, clustal, 3
10111, positionspecific, 2
10117, trnascanse, 1
